dist,h_dist,v_dist,avgPower,avgSnr,avg_pl,aod_theta,aoa_theta,aoa_phi,pitch,yaw,roll,vel_x,vel_y,vel_z,speed,avg_pl_rolling,avg_pl_ewma,used_freq
33.80534,31.597353,12.017,0.3904459,-5.723616273144355,70.2378667162064,1.163383083383829,-1.9782128382116837,-0.4706854556234236,-0.0303447637706995,0.0611059144139289,-0.0773677453398704,0.11,0.04,-0.15,0.1902629759044044,0.0,70.2378667162064,3278.93448
33.80534,31.597353,12.017,0.41032067,-5.602947176774707,70.21799192963978,1.163383083383829,-1.9782128382116837,-0.4706854556234236,-0.0303447637706995,0.0611059144139289,-0.0773677453398704,0.11,0.04,-0.15,0.1902629759044044,0.0,70.22682516811383,3779.22824
33.80534,31.597353,12.017,0.4585709,-5.515808079618116,70.16974170768313,1.163383083383829,-1.9782128382116837,-0.4706854556234236,-0.0303447637706995,0.0611059144139289,-0.0773677453398704,0.11,0.04,-0.15,0.1902629759044044,0.0,70.20343030728158,3383.57697
33.80534,31.597353,12.017,0.47508043,-5.588980921757713,70.15323216657984,1.163383083383829,-1.9782128382116837,-0.4706854556234236,-0.0303447637706995,0.0611059144139289,-0.0773677453398704,0.11,0.04,-0.15,0.1902629759044044,0.0,70.18642551707097,3324.52966
33.80534,31.597353,12.017,0.62260497,-5.5448273345940855,70.00570761336729,1.163383083383829,-1.9782128382116837,-0.4706854556234236,-0.0303447637706995,0.0611059144139289,-0.0773677453398704,0.11,0.04,-0.15,0.1902629759044044,0.0,70.13266602644042,3428.90385
33.80534,31.597353,12.017,0.5223144,-5.488468450542497,70.10599820027115,1.163383083383829,-1.9782128382116837,-0.4706854556234236,-0.0303447637706995,0.0611059144139289,-0.0773677453398704,0.11,0.04,-0.15,0.1902629759044044,0.0,70.12543756284609,3464.38374
33.80534,31.597353,12.017,0.6197949,-5.403701461153459,70.00851767524655,1.163383083383829,-1.9782128382116837,-0.4706854556234236,-0.0303447637706995,0.0611059144139289,-0.0773677453398704,0.11,0.04,-0.15,0.1902629759044044,0.0,70.09584825843342,3653.35465
33.80534,31.597353,12.017,0.35549232,-5.453332752574578,70.27282027450977,1.163383083383829,-1.9782128382116837,-0.4706854556234236,-0.0303447637706995,0.0611059144139289,-0.0773677453398704,0.11,0.04,-0.15,0.1902629759044044,0.0,70.13837796185607,3449.58966
33.80534,31.597353,12.017,0.3641362,-5.622376600480694,70.2641764256078,1.163383083383829,-1.9782128382116837,-0.4706854556234236,-0.0303447637706995,0.0611059144139289,-0.0773677453398704,0.11,0.04,-0.15,0.1902629759044044,0.0,70.16743803107211,3670.21641
33.80534,31.597353,12.017,0.15755168,-5.70783804188958,70.47076092986785,1.163383083383829,-1.9782128382116837,-0.4706854556234236,-0.0303447637706995,0.0611059144139289,-0.0773677453398704,0.11,0.04,-0.15,0.1902629759044044,70.19068136389795,70.23539996827247,3497.32621
33.80534,31.597353,12.017,-0.07756672,-5.952750326415872,70.70587932619124,1.163383083383829,-1.9782128382116837,-0.4706854556234236,-0.0303447637706995,0.0611059144139289,-0.0773677453398704,0.11,0.04,-0.15,0.1902629759044044,70.23748262489644,70.33833816349612,3576.574318
33.80534,31.597353,12.017,-0.083029784,-7.232273594536963,70.71134238781718,1.163383083383829,-1.9782128382116837,-0.4706854556234236,-0.0303447637706995,0.0611059144139289,-0.0773677453398704,0.11,0.04,-0.15,0.1902629759044044,70.28681767071417,70.41844382768711,3824.6774
33.80534,31.597353,12.017,0.2576095,-7.17571050214324,70.37070313224216,1.163383083383829,-1.9782128382116837,-0.4706854556234236,-0.0303447637706995,0.0611059144139289,-0.0773677453398704,0.11,0.04,-0.15,0.1902629759044044,70.30691381317008,70.40834023787404,3392.80714
33.80534,31.597353,12.017,0.8288413,-6.647334334279153,69.79947127786947,1.163383083383829,-1.9782128382116837,-0.4706854556234236,-0.0303447637706995,0.0611059144139289,-0.0773677453398704,0.11,0.04,-0.15,0.1902629759044044,70.27153772429904,70.28096439715438,3376.08157
33.80534,31.597353,12.017,-0.9545579,-7.941393079328821,71.58287051571045,1.163383083383829,-1.9782128382116837,-0.4706854556234236,-0.0303447637706995,0.0611059144139289,-0.0773677453398704,0.11,0.04,-0.15,0.1902629759044044,70.42925401453337,70.5508410618545,3258.0721
33.80534,31.597353,12.017,-0.18599094,-8.256215749116766,70.81430354161394,1.163383083383829,-1.9782128382116837,-0.4706854556234236,-0.0303447637706995,0.0611059144139289,-0.0773677453398704,0.11,0.04,-0.15,0.1902629759044044,70.50008454866764,70.6050596761253,3345.50647
33.80534,31.597353,12.017,0.5403366,-6.796345973923336,70.0879759742914,1.163383083383829,-1.9782128382116837,-0.4706854556234236,-0.0303447637706995,0.0611059144139289,-0.0773677453398704,0.11,0.04,-0.15,0.1902629759044044,70.50803037857213,70.49926055126195,3193.22742
33.80534,31.597353,12.017,-2.782753,-7.899652136109491,73.41106554889816,1.163383083383829,-1.9782128382116837,-0.4706854556234236,-0.0303447637706995,0.0611059144139289,-0.0773677453398704,0.11,0.04,-0.15,0.1902629759044044,70.82185490601096,71.0923048878014,4487.65027
33.80534,31.597353,12.017,0.41085634,-6.812181191305263,70.21745625484043,1.163383083383829,-1.9782128382116837,-0.4706854556234236,-0.0303447637706995,0.0611059144139289,-0.0773677453398704,0.11,0.04,-0.15,0.1902629759044044,70.81718288893424,70.91477671054379,3485.91435
