time,dist,h_dist,v_dist,avgPower,snr,avgSnr,path_loss,avg_pl,used_freq
41.0,33.371258,31.076143,12.162,-1.0642192,[-8.56573262 -8.04592152 -7.98186163 -6.99817948],-7.897923813145946,[71.02525902 71.01635274 71.01031905 73.71819673],71.69253188554403,3371.09123
41.4,33.366886,31.076143,12.15,-0.91426724,[-8.43630567 -7.92868455 -7.92831643 -6.75259157],-7.761474557074643,[70.8832865  70.85899331 70.84326414 73.58477544],71.54257984695111,3522.994766
41.8,33.365067,31.076143,12.145,-0.982423,[-8.67567962 -7.97481725 -8.03736899 -6.97857384],-7.916609927305435,[70.95348078 70.93888706 70.90633069 73.64424399],71.61073562942565,3494.0942
42.2,33.365795,31.076143,12.147,-0.8988793,[-8.66022153 -8.02666551 -8.04127437 -6.94091083],-7.917268057144447,[70.86768176 70.85999612 70.80488785 73.5762018 ],71.52719188345569,3398.8808
42.6,33.367615,31.076143,12.152,-0.9367574,[-8.83695834 -7.98154084 -8.01611037 -6.9890938 ],-7.955925838230404,[70.91506475 70.86709401 70.8639978  73.61412339],71.56506998748401,2863.05084
43.0,33.3698,31.076143,12.158,-1.0381442,[-8.88291052 -8.02412956 -8.05698341 -7.04787473],-8.002974554594518,[71.06240758 70.99432801 70.95851674 73.65057523],71.66645688876595,3242.51938
43.4,33.37272,31.076143,12.166,-0.8968737,[-8.59732696 -8.03697167 -8.07657661 -6.85905192],-7.892481789431024,[70.85249082 70.86722281 70.82437315 73.5566586 ],71.52518634286508,3500.526466
43.8,33.374905,31.076143,12.172,-0.8950438,[-8.74185759 -8.05163562 -8.02461844 -6.87049769],-7.922152335879012,[70.87446409 70.83898543 70.82916875 73.55080732],71.52335639837219,3326.6992
44.2,33.376728,31.076143,12.177,-0.92323196,[-8.70082852 -7.95730777 -7.95571105 -7.01425895],-7.907026571794026,[70.96250059 70.88069772 70.81969838 73.54328156],71.5515445645114,3562.5537308
44.6,33.376728,31.076143,12.177,-0.90899765,[-8.67561071 -8.05955617 -8.03719624 -7.04604594],-7.95460226525794,[70.91723595 70.85968649 70.81410772 73.5582108 ],71.53731023805001,3855.70697
45.0,33.376728,31.076143,12.177,-1.0218214,[-8.92130123 -8.13206241 -8.2169687  -7.11535925],-8.09642290020943,[71.0461674  70.96810935 70.91526689 73.67099236],71.65013399995414,3216.67682
45.4,33.37527,31.076143,12.173,-1.0499877,[-9.06741872 -8.24956477 -8.23365604 -7.23017024],-8.1952024413846,[71.11318419 70.97933785 70.93539016 73.68528868],71.67830021923484,3534.009909
45.8,33.377457,31.076143,12.179,-0.96399814,[-8.80472071 -8.24358442 -8.26814615 -7.13347345],-8.112481182566992,[70.96831513 70.87142218 70.8870108  73.64249478],71.59231072216664,3603.8632470000002
46.2,33.370445,31.067825,12.181,-0.97373444,[-8.91467987 -8.1478241  -8.29523803 -7.16826378],-8.131501444516948,[70.98596146 70.89637622 70.89869108 73.62715941],71.60204704104345,3298.53357
46.6,33.369713,31.067825,12.179,-0.9672773,[-8.81485016 -8.06652878 -8.16877952 -7.06731378],-8.02936806108109,[70.95708985 70.89821955 70.91272363 73.61432646],71.5955898712061,3156.83728
47.0,33.366745,31.06346,12.182,-1.026067,[-8.88729545 -8.37996849 -8.42302387 -7.28315645],-8.243361067208385,[71.01159226 71.00538794 70.98177984 73.61875847],71.65437962646818,3110.89365
47.4,33.366745,31.06346,12.182,-1.0838128,[-8.92785675 -8.46183622 -8.41592094 -7.32393844],-8.282388085417777,[71.12859691 71.06577681 70.96522251 73.68890544],71.71212541639224,3447.73898
47.8,33.368256,31.067825,12.175,-1.0611463,[-8.8123857  -8.50824348 -8.63490996 -7.44563788],-8.350294253454884,[71.043039   71.03198278 71.00226799 73.68054585],71.68945890583672,3384.33707
48.2,33.36789,31.067825,12.174,-1.1410242,[-8.78673301 -8.60090973 -8.62456349 -7.66717008],-8.419844078625282,[71.21274924 71.0989123  71.04670202 73.71898386],71.76933685663857,3370.61601
48.6,33.363876,31.067825,12.163,-1.1057414,[-8.72845749 -8.60548093 -8.77394112 -7.62626404],-8.433535895525038,[71.08534115 71.0631139  71.02216353 73.76559714],71.73405393130446,3366.47183
49.0,33.35987,31.067825,12.152,-1.0130851,[-8.34528552 -8.71689661 -8.67445634 -7.45153407],-8.297043137884847,[71.07263526 70.96687863 70.94223373 73.58384333],71.64139773613731,3752.2299199999998
49.4,33.360962,31.067825,12.155,-1.1920593,[-8.4194994  -8.49318407 -8.56908624 -7.36273282],-8.211125634158797,[71.20791246 71.15084988 71.15704963 73.7656757 ],71.82037191661153,3330.58418
49.8,33.3606,31.067825,12.154,-1.1459904,[-7.98915024 -8.41595597 -8.40131702 -7.14905085],-7.988868516662748,[71.21723856 71.11101062 71.06932989 73.69963264],71.77430292672275,3502.45492
50.2,33.358776,31.067825,12.149,-1.1793596,[-8.18234455 -8.44145992 -8.50610796 -7.19665228],-8.081641175058122,[71.2553421  71.05383887 71.06796398 73.85354348],71.80767210649108,3580.145145
50.6,33.35441,31.067825,12.137,-1.180426,[-7.85514445 -8.05138361 -8.07524764 -6.97226541],-7.738510277607277,[71.19690187 71.14648328 71.16360275 73.72796673],71.80873865612497,3311.96667
51.0,33.35477,31.067825,12.138,-1.1022549,[-7.62364059 -7.90870967 -7.87575054 -6.8315432 ],-7.559910997288936,[71.29825641 71.04202453 71.0329589  73.54902988],71.73056743151615,3363.33293
51.4,33.3555,31.067825,12.14,-1.1707964,[-7.48051653 -7.68119132 -7.66386083 -6.6630112 ],-7.372144969838973,[71.22390557 71.16512871 71.18650707 73.62089456],71.79910897996129,3405.16849
51.8,33.35987,31.067825,12.152,-1.1437197,[-7.36057089 -7.51782723 -7.53403313 -6.58269212],-7.248780841729898,[71.25536261 71.16147759 71.14992017 73.52136871],71.77203227207451,3563.6290993
52.2,33.358414,31.067825,12.148,-1.2029709,[-7.20754851 -7.35254264 -7.28842844 -6.34451437],-7.048258489700537,[71.28415036 71.19673659 71.17776334 73.66648377],71.83128351636802,3607.52178
52.6,33.358414,31.067825,12.148,-1.2554165,[-6.97708677 -7.25832744 -7.24526031 -6.2610281 ],-6.935425656244363,[71.34218877 71.22182624 71.21910534 73.75179593],71.88372907060018,3478.50315
53.0,33.358414,31.067825,12.148,-1.2606455,[-6.80774551 -7.05217769 -7.06651407 -6.07020458],-6.749160461756191,[71.36999251 71.22246916 71.22129624 73.74207456],71.88895811597577,3782.5225
53.4,33.358414,31.067825,12.148,-1.1372708,[-6.56979846 -6.82479968 -6.81345313 -5.8773891 ],-6.5213600911437535,[71.28820864 71.08576441 71.05052649 73.6378339 ],71.76558335935229,3556.221399
53.8,33.35987,31.067825,12.152,-1.1831958,[-6.49673277 -6.59149167 -6.62328914 -5.63662165],-6.337033807604181,[71.25954808 71.15757812 71.1550129  73.67389477],71.81150846514039,3455.04167
54.2,33.35987,31.067825,12.152,-0.95788604,[-6.18986177 -6.34389685 -6.37436286 -5.51342391],-6.105386346409277,[71.10759363 70.98232366 70.93861108 73.31626631],71.58619866909693,3685.800354
54.6,33.368343,31.076143,12.154,-0.80777276,[-6.09466544 -6.38288434 -6.39439599 -5.57684081],-6.112196647293942,[70.9973852  70.83950706 70.84058733 73.06686194],71.43608538035005,3645.63426
55.0,33.363876,31.067825,12.163,-1.0988874,[-6.01059701 -6.23723712 -6.2402746  -5.33070787],-5.954704147586979,[71.3440154  71.10139185 71.0410057  73.42238735],71.72720007532173,3429.85085
55.4,33.36169,31.067825,12.157,-0.8933654,[-5.76988461 -5.88085752 -5.88226933 -5.08253948],-5.653887734261289,[71.0316218  70.92075527 70.93578375 73.19855108],71.52167797221499,3540.159744
55.8,33.35987,31.067825,12.152,-0.86982304,[-5.55828989 -5.784285   -5.74341252 -5.03609358],-5.530520249778529,[71.06794528 70.91508843 70.88612274 73.12338604],71.49813562359557,3701.61786
56.2,33.35471,31.06346,12.149,-0.7984624,[-5.46406431 -5.62500817 -5.63792783 -4.88848881],-5.403872278385069,[71.05151199 70.8097175  70.81070103 73.03516954],71.42677501860508,3737.52867
56.6,33.35471,31.06346,12.149,-0.704565,[-5.35661637 -5.4885986  -5.54860292 -4.84523996],-5.309764465726187,[70.93145884 70.79712336 70.74041374 72.86251436],71.33287757535477,3406.30782
57.0,33.35732,31.067825,12.145,-0.44137135,[-5.2347603  -5.50427466 -5.53080548 -4.74534698],-5.25379685313068,[70.61265365 70.49496833 70.49581515 72.67529865],71.0696839471864,3988.56216
57.4,33.35659,31.067825,12.143,-0.46030447,[-5.12117621 -5.27746283 -5.26881958 -4.56957556],-5.059258542977053,[70.70848026 70.48070273 70.47392002 72.69136527],71.08861706841108,3629.96569
57.8,33.356228,31.067825,12.142,-0.37575045,[-5.13752766 -5.24177059 -5.31269851 -4.60934366],-5.075335105946382,[70.56989204 70.44689269 70.42926674 72.57020079],71.00406306610077,3450.97515
58.2,33.358047,31.067825,12.147,-0.15646395,[-5.04029096 -5.14600708 -5.19691058 -4.56299339],-4.986550505267671,[70.44580009 70.21985925 70.16573104 72.30771583],70.78477654954699,3420.4874
58.6,33.366524,31.076143,12.149,-0.28364098,[-5.03722616 -5.06076469 -5.07641723 -4.42178524],-4.899048330893506,[70.38643504 70.40464723 70.36995312 72.48677892],70.91195357744482,3481.87273
59.0,33.367252,31.076143,12.151,-0.015670184,[-4.96241092 -5.00552528 -5.04121886 -4.31445385],-4.830902228433655,[70.13173158 70.10794175 70.10533352 72.2309243 ],70.64398278906611,3585.964706
59.4,33.3698,31.076143,12.158,-0.06082895,[-5.01605545 -5.0074974  -5.0180776  -4.36312975],-4.851190050659148,[70.15303439 70.13335728 70.1252458  72.34492875],70.68914155541452,3364.24997
59.8,33.37053,31.076143,12.16,0.009332808,[-5.03275464 -4.9873576  -5.0074957  -4.29712311],-4.831182762721893,[70.05591782 70.09411256 70.07033361 72.2555552 ],70.61897979665723,3356.6458000000002
60.2,33.3698,31.076143,12.158,0.23037623,[-4.96540781 -5.06999681 -5.09212282 -4.42069674],-4.887056042834871,[69.84040152 69.8305409  69.8118687  72.10893436],70.39793637080027,3549.375328
60.6,33.366158,31.076143,12.148,0.19273025,[-4.90888799 -4.98398095 -5.01314791 -4.27129011],-4.794326741346082,[69.82765309 69.89792455 69.85870491 72.15804687],70.43558235889435,3671.16261
61.0,33.3104,31.076143,11.994,0.089998,[-5.00850517 -4.97239487 -4.99886476 -4.31332483],-4.823272409438504,[69.87503929 70.02603633 69.99628946 72.25589335],70.5383146057878,3532.96694
61.4,33.31112,31.076143,11.996,0.33465412,[-5.03758259 -5.04247879 -5.06881415 -4.39629946],-4.88629374946294,[69.76919728 69.72722545 69.72176025 71.9564509 ],70.2936584689873,3202.64413
61.8,33.31256,31.076143,12.0,0.36937174,[-5.12926281 -5.10546808 -5.15906946 -4.41527491],-4.952268813473229,[69.61304742 69.70387486 69.68857453 72.03026666],70.25894086682538,3312.8613
62.2,33.313282,31.076143,12.002,0.36489782,[-5.16770102 -5.1119489  -5.17495782 -4.39968219],-4.963572482874463,[69.57692071 69.71910283 69.67750575 72.08012992],70.26341480122639,3279.8843
62.6,33.31364,31.076143,12.003,0.35218987,[-5.33365803 -5.19366117 -5.25490169 -4.49394753],-5.069042105734687,[69.58462218 69.70909997 69.68107017 72.12969861],70.27612273480881,3347.38118
63.0,33.31112,31.076143,11.996,0.29892987,[-5.43863197 -5.2519194  -5.28749192 -4.45973855],-5.109445462147421,[69.66474326 69.74882046 69.73581746 72.16814979],70.32938274270549,3264.69797
63.4,33.30932,31.076143,11.991,0.12791356,[-5.51451418 -5.33037934 -5.38835824 -4.50202281],-5.183818640934508,[69.81844947 69.88245908 69.85937281 72.4413148 ],70.50039903733386,3397.7461
63.8,33.30788,31.076143,11.987,0.20337409,[-5.65912976 -5.51444466 -5.53859341 -4.62835721],-5.335131259994517,[69.72599985 69.79689193 69.75923324 72.41762902],70.42493851077911,3297.82596
64.2,33.3104,31.076143,11.994,0.012312154,[-6.04395572 -5.73124899 -5.74495895 -4.89755322],-5.604429219425784,[69.84519856 69.99596104 70.0231902  72.599652  ],70.61600045040713,3753.4652
64.6,33.31436,31.076143,12.005,-0.08329041,[-6.273688   -6.05111789 -6.0635983  -5.15501356],-5.88585443499495,[70.08149028 70.09018266 70.02146579 72.65327335],70.71160301921508,3158.9016
65.0,33.317966,31.076143,12.015,-0.26522505,[-6.61475206 -6.27340109 -6.30513836 -5.32087896],-6.128542616313902,[70.19061211 70.24324437 70.20243033 72.93786388],70.89353767054935,3754.27655
65.4,33.32049,31.076143,12.022,-0.40059158,[-6.80657945 -6.36302904 -6.39262164 -5.42432212],-6.246638061820814,[70.36738193 70.33818573 70.34080208 73.06924705],71.02890419496912,3276.34467
65.8,33.321213,31.076143,12.024,-0.5991044,[-6.94735913 -6.55495308 -6.52665593 -5.51844092],-6.386852264106718,[70.49337514 70.5557026  70.53165659 73.32893376],71.22741702084554,3227.52496
66.2,33.32049,31.076143,12.022,-0.7434933,[-7.6697556  -7.0539064  -7.03389237 -6.04364848],-6.950300710897439,[70.71884382 70.7021646  70.69017253 73.37604269],71.371805910736,3480.5753
66.6,33.31941,31.076143,12.019,-0.86553466,[-8.40256638 -7.58807968 -7.52681637 -6.41866446],-7.484031721533762,[70.83480865 70.81804569 70.79471255 73.52782226],71.49384728720771,3275.73117
67.0,33.321213,31.076143,12.024,-1.1953304,[-8.4633465  -7.55780492 -7.59918764 -6.70673633],-7.5817688462060975,[71.21993475 71.17508021 71.14941808 73.75013872],71.82364294292752,3510.02071
67.4,33.321934,31.076143,12.026,-1.1360894,[-8.77535514 -8.4519712  -8.52565503 -7.59267101],-8.336413095213878,[71.24659455 71.0953043  71.07973774 73.6359715 ],71.76440202348194,3548.969108
67.8,33.321934,31.076143,12.026,-1.0435176,[-8.04327776 -8.4513052  -8.47650431 -7.20534458],-8.044107962458503,[71.12036819 70.94904826 70.96782771 73.65007645],71.67183015051823,3425.91077
68.2,33.32338,31.076143,12.03,-0.98421866,[-7.03008834 -7.26258522 -7.22939078 -6.26971257],-6.947944228802505,[71.05418555 70.95920396 70.92434451 73.51239113],71.61253128832709,3213.92346
68.6,33.324463,31.076143,12.033,-1.4517422,[-9.27406728 -9.21170638 -8.13687388],-8.874215846687017,[71.121787   71.19601109 73.92236613],72.0800547395152,3220.47147
69.0,33.3272,31.11378,11.943,0.24095488,[-7.53799367 -7.83156714 -7.81476639 -6.80700874],-7.497833984028028,[69.65915253 69.74688857 69.73539855 72.40799125],70.38735772732741,3377.36499
69.4,33.309525,31.139147,11.827,-0.55814993,[-8.22897903 -9.14963369 -9.03704134 -7.92964654],-8.586325149445353,[70.61932434 70.56452498 70.54972275 73.01227808],71.18646253824298,3678.25545
69.8,33.176632,31.182047,11.33,0.17144398,[-6.89271234 -6.68583953 -6.64341137 -5.8046268 ],-6.506647510488963,[69.81375154 69.84442516 69.85520223 72.31409559],70.45686862737574,3224.29156
70.2,32.91382,31.224543,10.409,-2.0624619,[-8.43792187 -8.05896133 -8.32117068 -7.05927843],-7.969333077650194,[71.52953173 72.08767285 72.05623566 75.08965743],72.69077441849399,3645.99909
70.6,32.73862,31.224543,9.841,-1.5188265,[-8.74415188 -8.99993235 -9.06762344 -7.93667268],-8.687095087198697,[71.37659328 71.46131633 71.44150707 74.30913968],72.1471390902499,3423.53487
71.0,32.387543,31.228455,8.587,-4.5930195,[-7.85318657 -7.34840079 -7.20739163 -6.41465706],-7.205909015204927,[74.90066289 74.66930072 74.47147775 76.84388678],75.22133203194726,4009.38138
71.4,32.078022,31.232372,7.317,-1.820773,[-5.88750258 -5.50037596 -5.49771042 -4.58282808],-5.367104260633019,[71.56919871 71.83305737 71.82869677 74.5653896 ],72.44908561249201,3002.0982
71.8,31.94761,31.236296,6.704,-0.06366389,[-6.14527638 -5.63512972 -5.63847993 -4.67190132],-5.522696836196822,[70.17204283 69.96438786 69.92379918 72.70767611],70.6919764944128,3228.31586
72.2,31.71215,31.231915,5.498,-1.768725,[-7.13591975 -6.765678   -6.81377226 -5.47239479],-6.546941199507147,[71.60520303 71.5469504  71.43747643 74.99852082],72.39703766794555,2955.4324
72.6,31.609634,31.227535,4.9,-1.2018629,[-8.13331674 -8.06007468 -8.05443973 -7.05472133],-7.825638119925536,[71.24779315 71.17789289 71.19419408 73.70082223],71.83017558619099,3496.36729
73.0,31.415836,31.197784,3.695,0.22625497,[-6.6101308  -6.44013957 -6.42127203 -5.62648295],-6.274506338704644,[69.8386267  69.94221951 69.80353404 72.0238503 ],70.40205763630168,3648.74059
73.4,31.258587,31.159733,2.484,-0.35549182,[-8.34338127 -8.48741712 -8.45467766 -7.11678438],-8.100565106849068,[70.26797733 70.19320072 70.19430058 73.27973908],70.98380442676076,3231.29733
73.8,31.194534,31.138733,1.865,-0.0047062114,[-7.15160761 -7.19027644 -6.25518171],-6.865688583611145,[69.96073278 69.76046226 72.17786142],70.633018816101,3213.89322
74.2,31.119024,31.113373,0.593,-0.5030274,[-9.03188926 -7.75004905 -7.71157818 -6.59313781],-7.771663574233795,[70.57539688 70.41305149 70.35886756 73.17804398],71.13133997786831,3298.39215
74.6,31.099527,31.092375,0.667,-0.43543664,[-6.77819298 -6.57276396 -6.58152828 -5.70887425],-6.410339868151648,[70.47328605 70.53589783 70.50458206 72.74123103],71.06374924247692,3631.18159
75.0,31.11077,31.084055,1.289,0.07289248,[-6.23240715 -5.74557064 -5.82923914 -5.01785215],-5.706267268067807,[69.86880745 70.03296089 69.99155112 72.32836105],70.5554201282942,3585.471315
75.4,31.133825,31.075735,1.901,0.045318883,[-7.19492134 -7.17733241 -7.14062502 -6.31531013],-6.957047223560307,[69.97396992 70.02123328 70.01094602 72.32582567],70.58299372104894,3687.62786
75.8,31.220753,31.06346,3.13,1.0051204,[-7.55120685 -6.81188874 -6.87357319 -5.87226765],-6.777234105849763,[68.82628041 69.0080532  68.97905629 71.67937899],69.62319222339565,3440.16558
76.2,31.288393,31.06346,3.745,0.95163006,[-7.20738727 -6.59454434 -6.66761274 -5.67748224],-6.536756647875916,[68.94716068 69.03992616 69.04079566 71.67884772],69.67668255397419,3395.23329
76.6,31.44782,31.046825,5.006,1.431567,[-7.90165105 -7.57420655 -7.57024047 -6.64848411],-7.423645545040188,[68.75142576 68.5493852  68.53000573 70.95616597],69.19674566597371,3181.19434
77.0,31.553879,31.046825,5.634,0.6221485,[-7.14267985 -6.98698932 -6.06600645],-6.731891874725689,[69.25190929 69.15527442 71.61130856],70.00616409138813,3068.21222
77.4,31.787224,31.030191,6.896,0.91918546,[-6.76434039 -7.2784776  -7.23071623 -6.1942396 ],-6.866943453635319,[68.96781955 69.04504224 69.07709075 71.7465561 ],69.70912715941867,3126.43558
77.8,32.078915,31.025824,8.152,1.3427416,[-6.9401381  -6.94266774 -6.95162366 -6.05758749],-6.723004247711924,[68.58544663 68.71094837 68.66609899 71.17979014],69.28557103066022,3014.28235
78.2,32.23486,31.017506,8.775,1.1450043,[-7.26184876 -7.23945775 -7.22383652 -6.29807311],-7.005804033370009,[68.86585819 68.87730093 68.85355149 71.33652279],69.48330834921413,3086.59763
78.6,32.59412,31.021875,10.001,0.59936,[-6.47574795 -6.3458023  -6.37185954 -5.60503908],-6.199612218693088,[69.5665316  69.47399759 69.46069917 71.61458204],70.02895260031437,3717.52771
79.0,33.00828,31.038507,11.232,0.7606766,[-8.86777491 -9.00037414 -9.3402116  -8.13206766],-8.83510707906062,[69.3065328  69.21115587 69.21742141 71.73543387],69.86763598706878,3389.94221
79.4,33.239197,31.055141,11.85,0.028997649,[-7.70875957 -7.31113902 -7.38832246 -6.56512864],-7.243337421501591,[69.93018576 70.0886664  70.10504366 72.27336401],70.59931495595399,3351.91212
79.8,33.734283,31.080095,13.116,1.4913038,[-7.19324278 -7.5822984  -7.59236346 -6.6412767 ],-7.25229533276091,[68.52403261 68.54526548 68.54212676 70.93661025],69.13700877530569,2610.86096
80.2,34.005497,31.092777,13.77,1.641997,[-6.82654284 -6.66944801 -6.73905038 -5.84783259],-6.520718455758618,[68.32020138 68.42554028 68.45163117 70.74788982],68.98631566373984,2871.48193
80.6,34.573006,31.11378,15.074,0.76130474,[-8.47426766 -8.43244824 -8.37096115 -7.40948287],-8.171789977949343,[69.38985391 69.28886055 69.27091686 71.51840015],69.86700786772465,3596.464813
81.0,35.162453,31.122095,16.365,0.7037683,[-8.84120594 -8.71973413 -8.9087822  -7.90853989],-8.594565539186723,[69.40186657 69.26142284 69.29689448 71.73799317],69.92454426621698,3421.311
81.4,35.469635,31.122095,17.015,-5.415296,[-7.48017262 -7.62123059 -7.85345404 -7.1711908 ],-7.531512009678231,[75.24654723 75.02105701 76.36334006 77.54349095],76.04360881238256,3213.92856
81.8,36.10287,31.126463,18.291,-3.0885823,[-8.34458501 -8.37392716 -6.94230232],-7.886938163687112,[73.37918492 72.93559037 74.83590914],73.71689480899911,2194.5276
82.2,36.745438,31.122517,19.535,-2.9515254,[-6.70158151 -6.63875679 -6.75724441 -5.99310517],-6.522671969595505,[73.78431365 73.40626245 73.03695919 74.09181729],73.57983814855287,4239.4649
82.6,37.07564,31.118145,20.156,1.7599167,[-8.10470188 -7.48719127 -7.61960967 -6.7377154 ],-7.487304556982694,[68.29240087 68.33488694 68.32669985 70.51959588],68.86839588479721,2889.6531
83.0,37.773697,31.109829,21.425,2.1675649,[-6.98661152 -6.54801037 -6.6028283  -5.8293605 ],-6.491702673140006,[67.94459828 67.96310799 67.90904966 70.02623463],68.46074763953621,2891.4814
83.4,38.138607,31.109829,22.062,2.001775,[-6.48337552 -6.19453334 -6.21289908 -5.50937634],-6.100046071075086,[68.02000884 68.11536688 68.1359844  70.23479048],68.62653765088402,3340.49377
83.8,38.84803,31.101515,23.278,1.7469273,[-7.04833035 -6.96695394 -6.99036506 -6.13815723],-6.785951644935519,[68.28611285 68.35092824 68.36513123 70.52336911],68.88138535753542,3336.8463
84.2,39.585766,31.08446,24.511,1.7308044,[-7.61296838 -7.39783888 -7.39540205 -6.62701262],-7.258305482514336,[68.39323665 68.35638525 68.3802357  70.46017488],68.89750812315759,3066.0346
84.6,39.97786,31.071777,25.155,0.5995674,[-7.29313494 -7.77342008 -7.78808619 -6.92680308],-7.445361074678911,[69.56908531 69.45500638 69.34728638 71.74360271],70.02874519528184,3128.15216
85.0,40.772194,31.046415,26.429,0.8267512,[-6.82817145 -6.73838285 -6.74657045 -5.80735694],-6.530120421055459,[69.40836894 69.13356666 69.08035949 71.58395057],69.80156141412064,3059.64313
85.4,41.58012,31.042059,27.664,0.9232352,[-7.06724691 -6.3954583  -6.45911284 -5.55620239],-6.369505111134882,[69.17788524 69.02845595 69.02794488 71.5860236 ],69.70507741800057,3150.55582
85.8,41.987087,31.042059,28.272,0.45669848,[-7.03460995 -6.69143003 -6.7939894  -5.85917719],-6.594801642922504,[69.58834954 69.57158172 69.50665888 72.01986637],70.17161412942026,3484.76417
86.2,42.83019,31.046415,29.505,-0.09886988,[-8.89145053 -9.75836302 -9.72739699 -8.46493313],-9.21053591643176,[70.04375372 70.01903816 69.98191333 72.86402475],70.72718249036004,3008.3500400000003
86.6,43.267292,31.046415,30.136,1.0898944,[-7.10169273 -7.02276041 -7.06929329 -6.11787395],-6.827905095231266,[69.07643196 68.96941162 68.92386105 71.18396808],69.53841817868933,3301.5518
87.0,44.160328,31.042059,31.409,1.5247742,[-9.49918864 -9.3263823  -9.38168772 -8.45938577],-9.166661107186584,[68.44720185 68.57673676 68.59161589 70.79859912],69.10353840715378,3285.2777
87.4,45.049263,31.042059,32.647,-5.901554,[-8.50654445 -7.83001777 -7.83594836 -6.45018853],-7.655674775509862,[76.71507764 76.21449171 74.8087196  78.38117704],76.52986649682862,1378.9029999999998
