time,dist,h_dist,v_dist,avgPower,snr,avgSnr,path_loss,avg_pl,used_freq
3.0000002,33.896263,31.595976,12.274,-1.2540376,[-5.91885036 -6.05803742 -5.99841703 -5.29348483],-5.817197409459115,[71.59188947 71.30677848 71.32992691 73.30080582],71.88235017099024,3898.05376
3.4,33.896263,31.595976,12.274,-0.7391118,[-5.32476529 -5.4118048  -5.42691396 -4.71577018],-5.219813557618197,[71.23293209 70.78700042 70.71392126 72.73584373],71.36742437513342,4083.08148
3.8000002,33.896263,31.595976,12.274,-0.4489053,[-5.14387425 -5.13504338 -5.17050618 -4.49934763],-4.987192858642485,[70.98916074 70.41647212 70.46866089 72.43457779],71.0772178842539,3805.69454
4.2000003,33.896263,31.595976,12.274,0.06253191,[-4.9797039  -4.949333   -4.96734683 -4.24846252],-4.786211562946096,[70.37092587 69.95639254 69.85756568 72.07823868],70.56578069222341,3491.2276
4.6,33.896263,31.595976,12.274,0.1108377,[-4.76565904 -4.81826508 -4.82954555 -4.1607287 ],-4.643549590516916,[70.26745495 69.93235087 69.8838563  71.98623749],70.5174749054209,3530.25781
5.0,33.896263,31.595976,12.274,0.28034118,[-4.89329608 -4.89828914 -4.88576841 -4.26870463],-4.736514564777028,[70.05220353 69.7956073  69.73183077 71.81224415],70.34797143685094,3764.91321
5.4,33.896263,31.595976,12.274,0.091928534,[-4.97986074 -4.87908772 -4.87525171 -4.15431977],-4.722129983516099,[70.01877981 69.95116701 69.88923827 72.28635119],70.53638406975188,3240.5899
5.8,33.896263,31.595976,12.274,0.026326692,[-4.91316351 -4.88267306 -4.93595725 -4.13083366],-4.715656868800461,[70.19558846 69.98360552 69.89309714 72.33565253],70.60198591190445,3727.70895
6.2000003,33.896263,31.595976,12.274,-0.7028191,[-5.12431147 -5.15213797 -5.17967059 -4.47337564],-4.982373916787488,[70.88894849 70.75227265 70.6520123  73.03129336],71.3311316997615,3581.075966
6.6,33.896263,31.595976,12.274,-1.0443977,[-5.50161643 -5.50176585 -5.48983906 -4.66408953],-5.289327718958355,[71.01567472 71.08469045 71.09356208 73.49691425],71.67271037245864,3287.34778
7.0,33.896263,31.595976,12.274,-1.6009291,[-5.87896107 -5.91856028 -5.92087487 -5.11534599],-5.708435552931736,[71.62176291 71.62318077 71.6082046  74.0638188 ],72.22924176986145,3523.04532
7.4,33.896263,31.595976,12.274,-1.4713395,[-6.48452327 -6.63053227 -6.63344962 -5.68002355],-6.35713217695243,[71.61623893 71.39650384 71.46178352 73.92408181],72.09965202638796,3597.371086
7.8,33.896263,31.595976,12.274,-1.813219,[-7.19480612 -7.35510792 -7.3359114  -6.28160601],-7.041857861094556,[71.97642361 71.76820976 71.74206383 74.27942896],72.44153154032492,3849.05908
8.2,33.896263,31.595976,12.274,-1.546912,[-6.60501254 -6.3269834  -6.29456592 -5.38444871],-6.152752640881664,[71.9276269  71.48341785 71.45079402 73.83905941],72.17522454678301,3674.337688
8.6,33.896263,31.595976,12.274,-1.2995703,[-6.06437148 -5.84961863 -5.78693543 -4.95478411],-5.663927411676286,[71.73560033 71.21020907 71.16230863 73.60341355],71.92788289390326,3779.90851
9.0,33.896263,31.595976,12.274,-0.747023,[-5.38640722 -5.31118685 -5.34945554 -4.5836841 ],-5.157683429825134,[71.19024246 70.69333816 70.63282592 72.9849359 ],71.37533561092879,3731.37236
9.400001,33.896263,31.595976,12.274,-0.16348183,[-5.29599355 -5.16418174 -5.12598465 -4.38624757],-4.993101875645744,[70.52032832 70.10502725 70.15365463 72.38816754],70.79179443534525,3665.175634
9.8,33.896263,31.595976,12.274,0.35448995,[-4.86407984 -4.85043818 -4.88096024 -4.14730815],-4.685696606199959,[70.0945327  69.61722469 69.62376005 71.75977321],70.27382266419531,3927.96252
10.2,33.896263,31.595976,12.274,0.20592915,[-4.852086   -4.82327626 -4.83997222 -4.20290315],-4.679559410044741,[70.15450068 69.79174523 69.7639249  71.97936303],70.42238346035273,3433.5100899999998
10.6,33.896263,31.595976,12.274,-0.06334447,[-4.95175606 -4.88057789 -4.8765048  -4.1685591 ],-4.719349462517185,[70.1730556  70.07259625 70.08880471 72.43217173],70.69165707304865,3557.47174
11.0,33.896263,31.595976,12.274,-0.47743896,[-5.02476139 -5.02537009 -5.05462138 -4.25578399],-4.840134213925416,[70.64713253 70.48653942 70.39921833 72.89011593],71.1057515515885,3428.0954
11.400001,33.896263,31.595976,12.274,-0.894523,[-5.54431131 -5.56076403 -5.55752908 -4.67899145],-5.335398967326986,[70.81984055 70.9100799  70.90772698 73.45369502],71.5228356143072,3725.084824
11.8,33.896263,31.595976,12.274,-1.2122327,[-6.14236378 -6.22552086 -6.21200529 -5.26360202],-5.960872988210402,[71.13000402 71.16405608 71.17208179 73.8960394 ],71.84054532331058,3343.7582
12.2,33.896263,31.595976,12.274,-1.7404447,[-6.78549326 -6.86988043 -6.76631158 -5.90240443],-6.581022424100945,[71.74344907 71.66553267 71.72109016 74.34495712],72.3687572563014,3580.25356
12.6,33.896263,31.595976,12.274,-2.025967,[-7.0689288  -7.00958557 -7.06444973 -6.0486871 ],-6.797912796908998,[72.24312241 72.06087805 72.05840959 74.25470792],72.65427949107776,3586.421524
13.0,33.896263,31.595976,12.274,-1.385686,[-6.10364167 -5.9952815  -5.95895173 -5.20932801],-5.816800726070338,[71.74540899 71.40739854 71.32120911 73.58197802],72.01399866345525,3595.95567
13.400001,33.896263,31.595976,12.274,-0.7006407,[-5.39976528 -5.33732076 -5.33844744 -4.53408318],-5.152404165649219,[71.16359427 70.72336362 70.60220466 72.82665052],71.3289532663705,3468.39288
13.8,33.896263,31.595976,12.274,-0.16820301,[-5.12292778 -4.96884586 -4.94022841 -4.15878499],-4.7976967592519735,[70.62086612 70.13253221 70.07659505 72.35606909],70.79651561840555,3884.8281
14.2,33.896263,31.595976,12.274,0.28347704,[-4.88627096 -4.76199527 -4.79267936 -4.05111756],-4.623015786428298,[70.16480817 69.63919269 69.65070138 71.92464009],70.3448355799947,3626.236107
14.6,33.896263,31.595976,12.274,0.29178587,[-4.81224953 -4.81943322 -4.8162098  -4.07635864],-4.631062798540928,[69.89676144 69.68811886 69.68897168 72.07225493],70.33652672699372,3667.477571
15.0,33.896263,31.595976,12.274,-0.16420582,[-5.05985444 -5.03421614 -5.02544035 -4.29917545],-4.85467159656015,[70.32340338 70.18255467 70.18733076 72.47678488],70.79251842325885,3605.06067
15.400001,33.896263,31.595976,12.274,-0.794206,[-5.18704131 -5.25115681 -5.27534858 -4.48433732],-5.049471005086833,[71.00123012 70.82038474 70.75724984 73.11120972],71.42251860260544,3815.59016
15.8,33.896263,31.595976,12.274,-1.1238726,[-5.73836042 -5.88000307 -5.85846336 -4.91808558],-5.5987281080993725,[71.19387841 71.07137348 71.09042895 73.65306029],71.75218528322142,3532.18509
16.2,33.896263,31.595976,12.274,-1.7621374,[-6.68118874 -6.73089084 -6.80776514 -5.89745552],-6.529325062638275,[71.77973826 71.70060796 71.76961767 74.31183626],72.39045003585807,3519.47334
