time,dist,h_dist,v_dist,avgPower,snr,avgSnr,path_loss,avg_pl,used_freq
3.0000002,33.2453,31.076143,11.812,0.6496915,[-6.37509179 -6.23463403 -6.24979261 -5.28959133],-6.037277441822522,[69.21868975 69.33280789 69.32661257 72.03637414],69.97862108847609,3211.49057
3.4,33.247078,31.076143,11.817,0.6042333,[-6.72190636 -6.44587161 -6.47531038 -5.52092595],-6.291003573596166,[69.23605553 69.36892062 69.37639017 72.11495072],70.02407925994365,3228.9511
3.8000002,33.24459,31.076143,11.81,0.7119348,[-6.81159337 -6.49574459 -6.54363963 -5.57289447],-6.35596801480578,[69.19359893 69.26443029 69.26264272 71.94483937],69.91637782725206,3394.26471
4.2000003,33.249565,31.076143,11.824,0.7077108,[-6.82983609 -6.60574774 -6.62370149 -5.70235602],-6.44041033498639,[69.2478391  69.24089197 69.25771623 71.93595981],69.92060177555132,3201.4285
4.6,33.256683,31.076143,11.844,0.602507,[-6.94207455 -6.51644976 -6.55754757 -5.58247305],-6.399636235994494,[69.4192533  69.33847835 69.31814828 72.02734251],70.0258056108413,3549.79413
5.0,33.259533,31.076143,11.852,0.7099703,[-7.08493138 -6.84878293 -6.88669266 -5.89291167],-6.67832965886098,[69.25494503 69.25401722 69.27301758 71.89138944],69.9183423148324,3149.6181
5.4,33.265953,31.076143,11.87,0.6526677,[-7.29057269 -6.94044657 -6.97352858 -5.97121017],-6.793939502814953,[69.2914889  69.29433648 69.32379527 71.99295887],69.97564488170404,3459.65445
5.8,33.26259,31.071777,11.872,0.7897392,[-7.20191127 -6.99983924 -7.10921376 -6.03289388],-6.835964536557928,[69.26684479 69.12488221 69.1415683  71.82099825],69.83857338621497,3065.3141
6.2000003,33.262943,31.071777,11.873,0.6864867,[-7.59226564 -7.13722161 -7.23735063 -6.22443902],-7.047819223655459,[69.30303908 69.2526616  69.28628696 71.9253159 ],69.94182588409545,3213.7254
6.6,33.262943,31.071777,11.873,0.5750964,[-7.58139959 -7.31801942 -7.32058227 -6.31572436],-7.133931411238457,[69.37482738 69.37719862 69.40143997 72.05939868],70.05321616301548,3645.551031
7.0,33.26223,31.071777,11.871,0.74115664,[-7.50691471 -7.36843216 -7.39866526 -6.33076728],-7.151194853492456,[69.29380059 69.23312935 69.20246396 71.81922998],69.88715596748892,3288.85233
7.4,33.268932,31.080095,11.868,0.7518276,[-7.49035068 -7.2786063  -7.22901406 -6.14733728],-7.036327080919034,[69.3175466  69.19075171 69.13184487 71.8657969 ],69.87648501858645,3389.90611
