time,dist,h_dist,v_dist,avgPower,snr,avgSnr,path_loss,avg_pl,used_freq
19.0,33.363182,31.068254,12.16,-4.5478253,[-5.48881365 -5.38605375 -5.2748449  -4.97259812],-5.2805776054271565,[75.45839745 73.8943736  74.89143719 76.46034412],75.1761380917606,3044.20337
19.4,33.36355,31.068254,12.161,-4.2030334,[-5.2920714  -5.46723847 -5.4989002  -4.60786021],-5.216517567982095,[74.35658712 74.39724324 73.70023479 76.87131842],74.83134589297875,3101.4243500000002
19.8,33.363914,31.068254,12.162,-4.14881,[-5.49692148 -5.38397158 -5.47484056 -4.53044131],-5.22154373140895,[74.96057837 74.06818939 74.23730473 75.84241693],74.77712235502146,3112.52304
20.2,33.364277,31.068254,12.163,-4.12071,[-5.51149371 -5.45102506 -5.40565999 -4.66668856],-5.258716829630347,[74.7052529  74.16326598 74.37437936 75.75319086],74.74902227684349,3382.27611
20.6,33.364643,31.068254,12.164,-3.7603016,[-5.41523349 -5.36998409 -5.37521501 -4.71262695],-5.218264884427088,[73.53152304 73.73490868 73.51026187 76.7777632 ],74.38861419975679,3511.31859
21.0,33.35729,31.06388,12.155,-4.2725186,[-5.66977937 -5.4097404  -5.45183095 -4.58627756],-5.279407068419367,[74.87245529 74.42180399 73.78641929 76.5226466 ],74.90083129418198,3737.41125
21.4,33.357655,31.06388,12.156,-2.1448588,[-5.32047235 -5.32639922 -5.39194201 -4.58088939],-5.154925744036038,[72.56294354 72.51557312 71.84924765 74.1649214 ],72.77317142759333,3089.9807
21.8,33.359474,31.06388,12.161,-4.043302,[-5.56850054 -5.50889427 -5.50971892 -4.59097331],-5.294521759420597,[74.50143264 74.49572991 74.2193163  75.46998057],74.67161485387808,2647.38367
22.2,33.362453,31.068254,12.158,-4.689567,[-5.5048058  -5.2924212  -5.39645399 -4.75362064],-5.236825407678209,[75.65350702 73.8597655  75.05933906 76.69890784],75.31787985847338,2642.7147
22.6,33.354443,31.068254,12.136,-4.3047423,[-5.56135703 -5.44233205 -5.46832378 -4.7760386 ],-5.312012864595608,[74.9683495  74.66409845 73.59447507 76.50529644],74.93305486398084,3529.996113
23.0,33.35008,31.068254,12.124,-0.57202405,[-6.59041884 -6.35267294 -6.41973331 -5.47084823],-6.208418330791194,[70.69574579 70.52022121 70.52116976 73.06420996],71.20033667959514,3295.14093
23.4,33.348988,31.068254,12.121,-4.202472,[-5.47255793 -5.51389463 -5.54075452 -4.74788196],-5.318772259531556,[74.12943448 74.12343052 74.39783545 76.67243943],74.83078497149094,2649.88556
23.8,33.349354,31.068254,12.122,-0.91823536,[-6.83923904 -6.4981047  -6.51429681 -5.52613723],-6.344444446661189,[70.9161175  70.90885228 70.92118306 73.44003904],71.54654797233619,3307.0097
24.2,33.349716,31.068254,12.123,-0.72074974,[-6.87616005 -6.6612993  -6.66169952 -5.79374209],-6.498225239787744,[70.75070637 70.66947262 70.71395405 73.2621164 ],71.34906235891114,3321.32607
24.6,33.349354,31.068254,12.122,-0.77071327,[-7.01935226 -6.77192442 -6.7885229  -5.76088138],-6.585170241479797,[70.80308387 70.74607887 70.69420957 73.35273124],71.3990258873792,3851.573
25.0,33.3519,31.068254,12.129,-1.1009125,[-7.12602307 -6.7358352  -6.70522871 -5.82078044],-6.596966853143401,[71.01409907 71.10611564 71.11324306 73.68344261],71.72922509453389,3159.15222
