time,dist,h_dist,v_dist,avgPower,snr,avgSnr,path_loss,avg_pl,used_freq
19.0,33.266308,31.076143,11.871,1.1890815,[-5.34607644 -5.19602585 -5.21244946 -4.41178959],-5.04158533713224,[68.8187742  68.80832835 68.84868014 71.28114135],69.43923100814699,3223.74905
19.4,33.26274,31.076143,11.861,1.0251914,[-5.17084393 -5.18599132 -5.23496482 -4.42735498],-5.004788762248472,[69.0446646  68.98218749 68.95300708 71.43262573],69.60312122586586,3665.895958
19.8,33.259533,31.076143,11.852,0.96250933,[-5.28365825 -5.31868512 -5.30395264 -4.49379935],-5.100023843471087,[69.10427824 69.08640032 68.99245851 71.48007592],69.6658032470172,3206.92654
20.2,33.258465,31.076143,11.849,0.80757296,[-5.61875205 -5.49929675 -5.54721185 -4.74756447],-5.353206280210549,[69.27451506 69.27929835 69.20267471 71.52647045],69.82073964157671,3198.07605
20.6,33.258465,31.076143,11.849,0.45515493,[-5.66585805 -5.56893246 -5.56446605 -4.73784885],-5.384276351635728,[69.6323754  69.53576394 69.49502743 72.02946391],70.17315766862451,3518.98491
21.0,33.25633,31.076143,11.843,0.22587152,[-5.83536535 -5.75969554 -5.74727923 -4.87664525],-5.554746343274623,[69.92973936 69.69648933 69.72486297 72.25867269],70.40244108769198,3472.20941
21.4,33.25597,31.076143,11.842,-0.014046417,[-6.07571984 -6.09162225 -6.09430137 -5.29687662],-5.889630021338206,[70.30193255 69.96575972 69.89501732 72.4067265 ],70.64235902106566,3534.11385
21.8,33.254192,31.076143,11.837,-0.21799503,[-6.61571742 -6.48762901 -6.523416   -5.6317258 ],-6.314622058182555,[70.20201225 70.24709775 70.16935543 72.76676513],70.84630764199589,3372.86092
22.2,33.253834,31.076143,11.836,-0.009599909,[-6.88888386 -6.71826142 -6.69242428 -5.85695523],-6.539131201648791,[69.87726655 70.0930994  70.01485607 72.56642804],70.63791251415697,2979.0377
22.6,33.25348,31.076143,11.835,0.06298838,[-7.24682759 -7.05363116 -7.09102143 -6.07824478],-6.867431240262903,[69.82785904 69.92586941 69.93136531 72.57620316],70.5653242296423,3304.3563
23.0,33.24762,31.071777,11.83,-0.5991836,[-6.66768893 -6.4208558  -6.50520479 -5.63147912],-6.306307161751866,[70.39146933 70.67137903 70.72252858 73.12460783],71.22749619401793,3099.9858400000003
23.4,33.247974,31.071777,11.831,-0.06923546,[-6.86927588 -6.5477609  -6.66924093 -5.55950056],-6.411444570640163,[70.07107211 70.0223682  69.99574847 72.70100347],70.69754806227837,3004.46387
23.8,33.25047,31.071777,11.838,0.017028922,[-6.51508841 -6.09060263 -6.18424003 -5.19828902],-5.997055023443465,[69.83712673 69.94139084 69.98434162 72.68227554],70.61128368315785,3023.75116
24.2,33.251537,31.071777,11.841,0.40582308,[-6.40377083 -6.17619295 -6.14494107 -5.30716724],-6.008018021114192,[69.59772307 69.59860766 69.60472386 72.08890355],70.22248953622508,3103.03827
24.6,33.253315,31.071777,11.846,0.33355293,[-5.88144994 -5.6830294  -5.69154697 -4.7414232 ],-5.499362378225439,[69.58551009 69.6286314  69.61472168 72.35017549],70.29475966421735,3465.12468
25.0,33.25474,31.071777,11.85,0.59327644,[-5.62614152 -5.4079115  -5.42075669 -4.56331598],-5.25453142296874,[69.35159586 69.42221894 69.37764409 71.98868569],70.03503614521307,3614.9993186
25.4,33.25581,31.071777,11.853,0.81459624,[-5.43655286 -5.43374891 -5.45979357 -4.5761622 ],-5.226564383290258,[69.10468094 69.20827581 69.19573171 71.74617699],69.81371635998693,3287.23224
25.8,33.257595,31.071777,11.858,-0.88363355,[-5.30071727 -5.13242417 -5.14450461 -4.51428584],-5.02298297117327,[70.69489884 70.71001465 70.97869562 73.66417557],71.5119461714409,3234.4025
26.2,33.258663,31.071777,11.861,-0.5042049,[-5.39476078 -5.36735711 -5.38490076 -4.57170326],-5.179680477137307,[70.63580148 70.29329018 70.44894782 73.15203058],71.13251751268362,3197.11627
26.6,33.260803,31.071777,11.867,1.2292638,[-5.24464617 -5.31726408 -5.37802158 -4.55861055],-5.124635594221624,[68.73892111 68.80415466 68.77892368 71.27419578],69.39904880794786,3643.642597
27.0,33.262943,31.071777,11.873,1.1483796,[-5.39690174 -5.26993205 -5.28993533 -4.51836831],-5.118784355648289,[68.76882631 68.8731475  68.90782094 71.36993728],69.47993300748382,3330.93622
27.4,33.306686,31.071777,11.995,-0.94513816,[-5.21584431 -5.44293774 -5.28633851 -4.50957748],-5.113674509524197,[70.83693341 71.30021899 70.92611537 73.23053536],71.57345078190617,3404.83543
27.8,33.307407,31.071777,11.997,-0.9074629,[-5.42576709 -5.58637461 -5.55643684 -4.72768089],-5.324064856182369,[70.58704108 70.94614246 71.0831954  73.52672314],71.53577552192222,3201.64883
28.2,33.307766,31.071777,11.998,-0.8548776,[-5.60531358 -5.35178557 -5.56592    -4.77187977],-5.323724728585093,[71.08270512 70.59886217 70.59885519 73.6523382 ],71.48319017260611,3435.86975
28.6,33.31065,31.071777,12.006,1.093991,[-5.41977261 -5.20890701 -5.20355563 -4.461402  ],-5.073409313338841,[68.91838868 68.93457188 68.95031957 71.33400596],69.53432152282159,3393.88818
29.0,33.31065,31.071777,12.006,-1.1383673,[-5.72961951 -5.87436112 -5.75331433 -5.02437997],-5.595418732411561,[71.17575954 71.43964418 71.10490824 73.34640769],71.76667991058726,3220.76627
29.4,33.313175,31.071777,12.013,-1.1392847,[-5.93004816 -5.78206286 -6.16871252 -5.05779442],-5.734654488709898,[71.32292441 71.05737071 71.24902425 73.44106994],71.76759732653582,3307.47314
