time,dist,h_dist,v_dist,avgPower,snr,avgSnr,path_loss,avg_pl,used_freq
23.0,33.47214,31.072195,12.446,-1.3009912,[-5.74207504 -5.57917233 -5.49016955 -4.71574802],-5.381791234347748,[71.40521593 71.32656897 71.34815392 73.63727618],71.9293037480276,3693.0531306
23.4,33.47735,31.072195,12.46,-1.6231998,[-6.51923771 -6.29082851 -6.29640212 -5.33220574],-6.10966852105213,[71.69574604 71.64236251 71.52079011 74.14715091],72.25151239323043,3336.4653
23.8,33.47884,31.072195,12.464,-1.9540564,[-7.96002964 -7.77170184 -7.87978795 -6.90200032],-7.628379939046466,[71.92459814 71.911696   71.94318    74.55000176],72.5823689767465,3602.70838
24.2,33.47921,31.072195,12.465,-2.250228,[-8.95970823 -9.52638634 -9.37915727 -8.21070687],-9.018989677464536,[72.22152319 72.26717483 72.27130928 74.75415523],72.8785406322643,3207.15308
24.6,33.480328,31.072195,12.468,-2.1660707,[-6.69548176 -6.76780012 -6.68239486 -5.79510254],-6.485194820244504,[72.23499866 72.25205887 72.16597892 74.52449711],72.79438339099998,3806.48825
25.0,33.476234,31.072195,12.457,-1.7073528,[-5.86773575 -5.79712365 -5.6892724  -4.88307909],-5.55930272585252,[71.98082232 71.75527449 71.65914182 73.94742267],72.33566532282087,3812.06096
25.4,33.47735,31.072195,12.46,-1.3773812,[-5.61403247 -5.5980365  -5.56659831 -4.77395111],-5.388154596525594,[71.57861496 71.48964749 71.34626518 73.60824773],72.00569383944011,3876.65282
25.8,33.476234,31.072195,12.457,-1.3791722,[-6.27169163 -6.14800506 -6.13173272 -5.24453282],-5.948990558025804,[71.44723473 71.41121855 71.3531626  73.8183233 ],72.00748479589546,3704.429735
26.2,33.475487,31.072195,12.455,-2.0048888,[-7.80561637 -7.70424088 -7.73888197 -6.62663318],-7.468843099828995,[71.93435002 71.99724566 71.99197855 74.60923121],72.633201359273,3735.944313
26.6,33.473255,31.072195,12.449,-2.5134957,[-8.66841777 -9.53628852 -9.58678412 -8.16593304],-8.989355863195573,[72.49712881 72.44699077 72.41952771 75.20358582],73.1418082784015,3605.47431
27.0,33.47363,31.072195,12.45,-2.3946087,[-6.85049372 -7.0099865  -6.8830674  -5.98838977],-6.682984346540923,[72.5423149  72.42853928 72.3731896  74.74764124],73.02292125459877,4042.64752
27.4,33.473255,31.072195,12.449,-1.6869339,[-5.84918302 -5.73645453 -5.63566102 -4.90390845],-5.531301756966904,[71.97311833 71.68621878 71.68746225 73.91418664],72.31524650143618,3570.87835
27.8,33.47251,31.072195,12.447,-1.3355998,[-5.66650839 -5.54982104 -5.59488674 -4.7336785 ],-5.386223667887182,[71.47045438 71.37687871 71.27243718 73.73587911],71.9639123431511,3758.81551
28.2,33.477318,31.076569,12.449,-1.6235439,[-6.48486478 -6.16154237 -6.28886938 -5.37024132],-6.076379463972306,[71.64483884 71.61846988 71.586225   74.15789192],72.25185641109164,3362.75015
28.6,33.474743,31.072195,12.453,-2.124927,[-7.94366844 -7.83508596 -7.89696798 -6.79717695],-7.618224831762749,[72.01470617 72.15405532 72.12722691 74.71697026],72.75323966438512,3549.48083
29.0,33.474373,31.072195,12.452,-2.484188,[-8.63452341 -9.41864633 -9.20382696 -8.17078175],-8.856944611704042,[72.49788659 72.47711747 72.41204229 75.06295623],73.11250064390765,3449.35785
29.4,33.474,31.072195,12.451,-2.3412127,[-6.58596914 -6.53520556 -6.48636899 -5.68031148],-6.321963793745986,[72.53362453 72.4213863  72.3887375  74.53435272],72.96952526311428,3521.56564
29.8,33.46768,31.072195,12.434,-1.509846,[-5.75960908 -5.66274669 -5.64249429 -4.82901422],-5.473466072304039,[71.87908956 71.48819606 71.3958051  73.78954346],72.13815854714558,3906.50424
30.2,33.46545,31.072195,12.428,-1.3501174,[-5.83486758 -5.71800291 -5.68667246 -4.89942468],-5.5347419068512185,[71.55876646 71.37638559 71.33409594 73.6444724 ],71.97843009899448,3995.9797399999998
30.6,33.46545,31.072195,12.428,-1.7337736,[-6.68325767 -6.47942189 -6.5997178  -5.5340281 ],-6.324106362859215,[71.75354279 71.7282174  71.69394139 74.27264336],72.36208623416503,3641.999878
31.0,33.303116,31.072195,11.984,-2.1411858,[-8.48552901 -8.35688585 -8.36334943 -7.50435847],-8.177530689446375,[72.0925226  72.24986732 72.21467445 74.5209295 ],72.76949846820054,3652.730705
31.4,33.301678,31.072195,11.98,-2.709102,[-8.31080851 -8.19427907 -7.25015415],-7.918413907407758,[72.59279057 72.53341742 74.88603583],73.33741460584405,3642.791275
31.8,33.302036,31.072195,11.981,-2.0005972,[-6.17539853 -6.07930704 -6.11120833 -5.21193771],-5.894462904255679,[72.11467293 72.09779758 72.03315534 74.27001371],72.628909890514,3509.2653
32.2,33.30132,31.072195,11.979,-1.3749774,[-5.77702988 -5.62151799 -5.54187226 -4.75443696],-5.423714272138531,[71.5545974  71.37613064 71.34161229 73.74081943],72.00328994183332,4085.37326
32.6,33.2988,31.072195,11.972,-1.4810911,[-6.14379103 -5.88020284 -5.89261914 -5.06013804],-5.744187762479866,[71.62624392 71.53015734 71.44756549 73.83364804],72.10940369844852,3813.22714
33.0,33.295567,31.072195,11.963,-1.9716485,[-7.47780702 -7.26097975 -7.15746384 -6.21966388],-7.028978620924914,[71.988989   71.93737277 72.0002001  74.4732825 ],72.59996109066904,4073.36566
33.4,33.295567,31.072195,11.963,-2.0509424,[-8.72648721 -9.6635133  -9.62393959 -8.53507218],-9.137253069358517,[71.91670843 72.06271658 72.10234484 74.63525064],72.67925512267776,3570.26613
33.8,33.2988,31.072195,11.972,-2.2787812,[-7.31730597 -7.40537624 -7.30524536 -6.34066251],-7.092147518637744,[72.32212795 72.29844489 72.26422303 74.74357925],72.90709378027499,3992.1644
34.2,33.303116,31.072195,11.984,-0.54413056,[-5.28606479 -5.10312285 -5.10958721 -4.35650062],-4.9638188656196185,[70.79524858 70.55389325 70.4943793  72.84625151],71.17244315836828,4069.204
34.6,33.305275,31.072195,11.99,-0.8193546,[-5.74394879 -5.48891743 -5.44809988 -4.58506281],-5.316507228031273,[70.89847481 70.81329876 70.74698275 73.33191244],71.44766718833495,3650.3413
