time,dist,h_dist,v_dist,avgPower,snr,avgSnr,path_loss,avg_pl,used_freq
41.0,33.330948,31.017933,12.2,0.0726357,[-6.04142774 -5.46496788 -5.44812874 -4.60678839],-5.390328191603794,[70.10844011 69.88278593 69.82323059 72.40825097],70.55567690399978,3130.18582
41.4,33.326145,31.01356,12.198,0.1472991,[-5.99586504 -5.49284403 -5.47468603 -4.59509145],-5.389621635380712,[69.98198533 69.80392274 69.80497591 72.33317007],70.48101351407811,3334.19562
41.8,33.324318,31.01356,12.193,0.075103894,[-5.9542519  -5.52087571 -5.51400966 -4.63125903],-5.40509907489395,[70.0560038  69.87995273 69.83362138 72.44325693],70.55320871009589,3616.702377
42.2,33.321026,31.01356,12.184,-0.050357845,[-6.02454378 -5.48708184 -5.45306808 -4.63498304],-5.399919183921835,[70.18250119 69.97312847 69.95965229 72.59939984],70.67867044826876,3449.02403
42.6,33.32912,31.017933,12.195,0.112095185,[-5.97725278 -5.55472973 -5.5149435  -4.63150922],-5.419608804963645,[70.01229736 69.83518712 69.83653831 72.38084689],70.51621742180224,3564.008356895
43.0,33.327656,31.017933,12.191,-0.05489406,[-6.0002559  -5.50692648 -5.50387005 -4.63654351],-5.411898985353668,[70.14940097 70.04787562 69.95055849 72.58499158],70.68320666262275,3309.77003
43.4,33.331314,31.017933,12.201,-0.048508786,[-6.05068839 -5.58072113 -5.55385615 -4.70500696],-5.472568153309771,[70.14844015 70.00602458 69.95897163 72.59384919],70.67682138895248,3304.91635
43.8,33.33351,31.017933,12.207,-0.015293253,[-6.04435025 -5.58747494 -5.54267518 -4.67007093],-5.461142823070608,[70.11846513 69.96851621 69.9477618  72.53968029],70.64360585761548,3428.21696
44.2,33.330948,31.017933,12.2,-0.0748267,[-6.09746923 -5.62055975 -5.55660213 -4.6977615 ],-5.493098153977809,[70.17934653 70.04777355 69.97540611 72.61003102],70.70313930549327,3710.70013
44.6,33.327656,31.017933,12.191,-0.17819187,[-6.14592262 -5.677422   -5.64332354 -4.74777653],-5.553611171842904,[70.20926515 70.15966402 70.12844826 72.72864048],70.80650447863023,3588.247725
45.0,33.327656,31.017933,12.191,-0.25602132,[-6.17866693 -5.669484   -5.69671692 -4.83767685],-5.595636174715247,[70.34621938 70.17520535 70.19456318 72.8213478 ],70.88433392840938,3588.523447
45.4,33.332413,31.017933,12.204,-0.31193727,[-6.37068458 -5.81498709 -5.74039919 -4.89135187],-5.7043556811335465,[70.39782625 70.2683935  70.26036192 72.83441783],70.94024987479136,3520.177036
