dist,h_dist,v_dist,avgPower,avgSnr,avg_pl,aod_theta,aoa_theta,aoa_phi,pitch,yaw,roll,vel_x,vel_y,vel_z,speed,avg_pl_rolling,avg_pl_ewma,used_freq
33.660503,31.533401,11.776,-1.8661453,-6.403600086456311,72.49445783876429,1.1651897689753543,-1.9764061485435864,-0.4676088779221441,-0.0006699668010696,0.0936477556824684,-0.0756120681762695,0.0,0.0,0.0,0.0,,72.49445783876429,3281.74496
33.660156,31.533401,11.775,-1.4216444,-5.805427941483602,72.04995705558336,1.1651897689753543,-1.9764061485435864,-0.4675992354977879,-0.0006588825490325,0.0936533957719802,-0.0756265074014663,0.0,0.0,0.0,0.0,,72.24751295921934,3467.08362
33.657356,31.533401,11.767,-0.6130449,-4.936202010176366,71.24135752285977,1.1651897689753543,-1.9764061485435864,-0.4675220742053356,-0.0006593390717171,0.093561865389347,-0.0754402577877044,0.0,0.0,0.0,0.0,,71.83515417382607,3560.92745
33.65666,31.533401,11.765,-0.40310094,-4.863511725790653,71.03141355524482,1.1651897689753543,-1.9764061485435864,-0.4675027778225898,-0.0006778803654015,0.0936026722192764,-0.0754128545522689,0.0,0.0,0.0,0.0,,71.56288431658311,3449.014
33.658405,31.533401,11.77,-1.3506055,-5.18519739569556,71.97891809340655,1.1651897689753543,-1.9764061485435864,-0.467551014235098,-0.0008141897851601,0.0934248194098472,-0.0755121782422065,0.0,0.0,0.0,0.0,,71.68664495937922,3662.499973
33.656307,31.533401,11.764,-1.8813537,-6.614732746397719,72.50966631915924,1.1651897689753543,-1.9764061485435864,-0.4674931287292541,-0.0007637758972123,0.0934574604034423,-0.0754826143383979,0.0,0.0,0.0,0.0,,71.90972950698202,3679.54469
33.652466,31.533401,11.753,-1.0736359,-5.386228516795976,71.70194858666355,1.1651897689753543,-1.9764061485435864,-0.4673869485725623,-0.0007331100641749,0.0935243591666221,-0.0754108428955078,0.0,0.0,-0.01,0.01,,71.85714569913998,3182.4576
33.648277,31.533401,11.741,-0.38498554,-4.773558845860777,71.01329812772387,1.1651897689753543,-1.9764061485435864,-0.4672710319911933,-0.0005464008427225,0.0933445692062377,-0.0754174441099166,0.0,0.0,-0.01,0.01,,71.6543532591716,3883.25078
33.64688,31.533401,11.737,-0.9029048,-4.9152420830982,71.53121742728092,1.1651897689753543,-1.9764061485435864,-0.4672323737052648,-0.0005040989490225,0.0934795886278152,-0.0754514411091804,0.0,0.0,-0.01,0.01,,71.62590827112484,3749.091988
33.64758,31.533401,11.739,-1.7842758,-6.089412618129043,72.41258843169445,1.1651897689753543,-1.9764061485435864,-0.4672517040583353,-0.0004670371126849,0.0934713259339332,-0.0754021927714347,0.0,0.0,0.0,0.0,71.79648229583809,71.80217029381309,3452.57393
